id,risk,center_x,center_y,lon,lat,fid,real_id,covered
191,5.0,3500.0,4500.0,-7.974,41.174,191,191,1
192,5.0,3500.0,4000.0,-7.974,41.17,192,192,1
201,5.0,4000.0,12000.0,-7.968,41.242,201,201,1
202,5.0,4000.0,11500.0,-7.968,41.237,202,202,1
203,5.0,4000.0,11000.0,-7.968,41.233,203,203,1
204,5.0,4000.0,10500.0,-7.968,41.228,204,204,1
205,5.0,4000.0,10000.0,-7.968,41.224,205,205,1
213,5.0,4000.0,6000.0,-7.968,41.188,213,213,1
214,5.0,4000.0,5500.0,-7.968,41.183,214,214,1
215,5.0,4000.0,5000.0,-7.968,41.179,215,215,1
216,5.0,4000.0,4500.0,-7.968,41.174,216,216,1
217,3.0,4000.0,4000.0,-7.968,41.17,217,217,1
226,4.0,4500.0,12000.0,-7.962,41.242,226,226,1
227,5.0,4500.0,11500.0,-7.962,41.237,227,227,1
228,5.0,4500.0,11000.0,-7.962,41.233,228,228,1
229,5.0,4500.0,10500.0,-7.962,41.228,229,229,1
230,5.0,4500.0,10000.0,-7.962,41.224,230,230,1
235,5.0,4500.0,7500.0,-7.962,41.201,235,235,1
236,3.0,4500.0,7000.0,-7.962,41.197,236,236,1
237,5.0,4500.0,6500.0,-7.962,41.192,237,237,1
238,5.0,4500.0,6000.0,-7.962,41.188,238,238,1
239,5.0,4500.0,5500.0,-7.962,41.183,239,239,1
251,5.0,5000.0,12000.0,-7.956,41.242,251,251,1
252,5.0,5000.0,11500.0,-7.956,41.237,252,252,1
253,5.0,5000.0,11000.0,-7.956,41.233,253,253,1
254,5.0,5000.0,10500.0,-7.956,41.228,254,254,1
255,5.0,5000.0,10000.0,-7.956,41.224,255,255,1
260,5.0,5000.0,7500.0,-7.956,41.201,260,260,1
261,5.0,5000.0,7000.0,-7.956,41.197,261,261,1
262,5.0,5000.0,6500.0,-7.956,41.192,262,262,1
263,5.0,5000.0,6000.0,-7.956,41.188,263,263,1
264,5.0,5000.0,5500.0,-7.956,41.183,264,264,1
280,5.0,5500.0,10000.0,-7.95,41.224,280,280,1
281,5.0,5500.0,9500.0,-7.95,41.219,281,281,1
282,5.0,5500.0,9000.0,-7.95,41.215,282,282,1
283,5.0,5500.0,8500.0,-7.95,41.21,283,283,1
284,5.0,5500.0,8000.0,-7.95,41.206,284,284,1
285,5.0,5500.0,7500.0,-7.95,41.201,285,285,1
286,5.0,5500.0,7000.0,-7.95,41.197,286,286,1
287,5.0,5500.0,6500.0,-7.95,41.192,287,287,1
288,5.0,5500.0,6000.0,-7.95,41.188,288,288,1
289,5.0,5500.0,5500.0,-7.95,41.183,289,289,1
